ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
ECU,Ecuador,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,893.66","2,972.88","3,012.25","3,007.05","3,071.77","3,081.91","3,081.98","3,164.89","3,219.57","3,022.51","3,010.60","3,062.26","3,119.79","3,150.35","3,350.59","3,484.32","3,574.37","3,588.31","3,748.42","3,701.72","3,762.34","3,990.79","4,146.80","4,281.92","4,374.08","4,310.79","4,193.55","4,229.35","4,225.53","4,145.55","4,107.64","4,117.00","4,170.22","4,215.54","4,261.55",2018
ECU,Ecuador,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,155.86","7,351.75","7,449.12","7,436.26","7,596.31","7,621.39","7,621.57","7,826.58","7,961.81","7,474.50","7,445.03","7,572.79","7,715.05","7,790.62","8,285.80","8,616.51","8,839.20","8,873.68","9,269.62","9,154.14","9,304.04","9,868.98","10,254.81","10,588.93","10,816.84","10,660.33","10,370.41","10,458.93","10,449.48","10,251.71","10,157.95","10,181.11","10,312.71","10,424.78","10,538.58",2018
EGY,Egypt,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","12,507.81","12,511.62","12,294.60","12,394.69","12,651.75","12,951.04","13,279.49","13,781.37","14,503.45","15,066.91","15,437.06","15,635.13","15,806.07","15,980.09","16,296.83","16,680.25","17,460.50","18,334.49","19,232.62","19,687.63","20,226.91","20,130.73","20,104.37","20,204.25","20,313.73","20,653.93","21,264.97","21,058.02","21,678.46","22,359.96","23,139.79","23,966.63","24,825.82","25,711.59","26,384.33",2018
EGY,Egypt,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","6,848.36","6,850.44","6,731.62","6,786.42","6,927.17","7,091.04","7,270.87","7,545.67","7,941.03","8,249.54","8,452.20","8,560.65","8,654.24","8,749.52","8,922.95","9,132.88","9,560.09","10,038.62","10,530.37","10,779.50","11,074.77","11,022.11","11,007.68","11,062.36","11,122.30","11,308.58","11,643.13","11,529.82","11,869.53","12,242.67","12,669.65","13,122.36","13,592.80","14,077.78","14,446.12",2018
SLV,El Salvador,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,374.56","2,373.87","2,507.54","2,619.50","2,707.70","2,800.52","2,793.54","2,850.95","2,901.30","2,938.56","2,951.40","2,957.15","2,988.72","3,020.16","3,031.83","3,110.78","3,222.58","3,269.73","3,326.58","3,240.03","3,286.95","3,387.13","3,454.41","3,501.48","3,529.55","3,581.07","3,636.99","3,686.17","3,744.74","3,803.53","3,855.37","3,903.94","3,953.09","4,002.89","4,053.39",2018
SLV,El Salvador,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","4,530.83","4,529.52","4,784.57","4,998.20","5,166.49","5,343.60","5,330.29","5,439.82","5,535.90","5,607.00","5,631.50","5,642.46","5,702.71","5,762.69","5,784.96","5,935.60","6,148.91","6,238.88","6,347.36","6,182.21","6,271.74","6,462.89","6,591.28","6,681.09","6,734.64","6,832.95","6,939.64","7,033.48","7,145.25","7,257.41","7,356.32","7,449.01","7,542.78","7,637.81","7,734.17",2018
GNQ,Equatorial Guinea,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","139,227.27","133,194.27","171,498.53","183,214.14","206,746.30","252,369.31","371,246.30","885,706.52","1,062,502.74","1,289,987.78","2,607,558.27","4,006,768.69","4,601,304.53","5,052,604.91","6,313,588.40","6,538,764.83","6,657,451.18","7,331,422.78","8,247,593.90","7,984,256.05","6,950,667.86","7,082,533.27","7,344,060.67","6,747,182.62","6,501,174.40","5,677,839.44","4,981,837.39","4,574,305.76","4,160,623.92","3,832,714.91","3,521,831.61","3,230,708.02","2,955,140.52","2,774,830.40","2,618,740.45",2015
GNQ,Equatorial Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",675.505,646.234,832.079,888.921,"1,003.10","1,224.45","1,801.22","4,297.29","5,155.07","6,258.78","12,651.40","19,440.11","22,324.69","24,514.31","30,632.37","31,724.89","32,300.73","35,570.72","40,015.81","38,738.15","33,723.37","34,363.15","35,632.04","32,736.09","31,542.51","27,547.84","24,170.96","22,193.69","20,186.59","18,595.63","17,087.28","15,674.80","14,337.80","13,462.97","12,705.65",2015
ERI,Eritrea,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,"4,382.73","4,954.86","5,983.48","6,074.37","6,528.59","6,893.56","6,839.27","6,636.59","5,718.76","6,031.87","6,029.85","5,700.42","5,620.19","5,606.23","5,402.77","5,336.31","4,189.39","4,582.77","4,957.18","6,085.01","6,058.02","5,304.18","6,795.49","5,281.67","5,557.55","4,924.94","5,421.01","5,487.67","5,599.66","5,727.39","6,038.34","6,226.94","6,427.88",2006
ERI,Eritrea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,738.818,835.265,"1,008.66","1,023.99","1,100.56","1,162.08","1,152.93","1,118.76",964.039,"1,016.82","1,016.48",960.947,947.422,945.068,910.771,899.568,706.226,772.539,835.655,"1,025.78","1,021.23",894.15,"1,145.55",890.356,936.863,830.221,913.846,925.083,943.961,965.493,"1,017.91","1,049.70","1,083.58",2006
EST,Estonia,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,"6,160.28","6,200.03","6,459.96","6,879.57","7,866.35","8,286.20","8,228.50","9,016.40","9,615.75","10,335.12","11,187.14","12,015.85","13,231.70","14,603.49","15,781.34","15,018.44","12,875.50","13,254.23","14,283.85","14,780.93","15,033.31","15,513.62","15,799.06","16,210.12","17,121.27","17,921.17","18,481.59","19,007.80","19,534.80","20,082.13","20,650.77","21,241.38",2018
EST,Estonia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,"10,433.13","10,500.44","10,940.67","11,651.32","13,322.54","14,033.61","13,935.89","15,270.29","16,285.35","17,503.69","18,946.67","20,350.18","22,409.36","24,732.65","26,727.46","25,435.41","21,806.10","22,447.52","24,191.30","25,033.16","25,460.59","26,274.06","26,757.48","27,453.66","28,996.78","30,351.51","31,300.64","32,191.84","33,084.38","34,011.33","34,974.40","35,974.65",2018
SWZ,Eswatini,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","22,679.99","22,441.40","22,637.41","22,879.89","22,982.57","23,611.43","23,993.67","24,191.25","24,586.62","25,075.13","25,279.76","25,311.55","26,179.56","26,949.89","27,676.69","29,076.83","30,548.30","31,625.27","31,652.69","31,915.41","32,888.19","33,387.37","34,938.14","36,032.31","36,107.40","36,686.14","36,895.52","37,385.13","37,888.95","38,005.21","37,794.32","37,632.85","37,436.78","37,253.88","37,031.55",2017
SWZ,Eswatini,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,814.66","5,753.49","5,803.74","5,865.91","5,892.23","6,053.46","6,151.46","6,202.11","6,303.48","6,428.72","6,481.18","6,489.33","6,711.87","6,909.37","7,095.70","7,454.67","7,831.92","8,108.03","8,115.06","8,182.42","8,431.82","8,559.80","8,957.38","9,237.90","9,257.15","9,405.53","9,459.21","9,584.74","9,713.91","9,743.71","9,689.64","9,648.25","9,597.98","9,551.09","9,494.09",2017
ETH,Ethiopia,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,681.69","5,095.99","4,486.70","4,917.85","4,925.83","5,066.54","5,583.54","5,580.72","5,201.86","5,381.98","5,755.61","6,001.48","5,932.87","5,472.69","5,958.08","6,538.79","7,106.00","7,743.18","8,474.82","9,175.50","9,988.29","10,951.72","11,717.05","12,674.25","13,759.55","14,951.32","15,893.13","17,230.27","18,265.63","19,315.63","20,379.81","21,488.35","22,635.27","23,751.11","24,899.91",2016
ETH,Ethiopia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",644.84,578.367,509.216,558.149,559.055,575.024,633.701,633.381,590.383,610.825,653.23,681.135,673.348,621.12,676.21,742.117,806.492,878.809,961.846,"1,041.37","1,133.62","1,242.96","1,329.82","1,438.46","1,561.63","1,696.89","1,803.78","1,955.54","2,073.05","2,192.22","2,313.00","2,438.81","2,568.98","2,695.62","2,826.00",2016
FJI,Fiji,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,452.90","7,193.58","7,571.73","7,707.34","8,037.04","8,181.99","8,508.68","8,244.33","8,291.46","8,948.48","8,734.01","8,837.32","9,056.37","9,065.47","9,489.14","9,301.67","9,413.96","9,266.24","9,313.86","9,139.49","9,368.80","9,576.12","9,665.42","10,075.43","10,590.25","11,035.11","11,212.62","11,717.88","12,064.13","12,321.52","12,621.16","12,953.19","13,293.96","13,643.69","14,002.62",2017
FJI,Fiji,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","6,414.49","6,191.30","6,516.76","6,633.48","6,917.24","7,042.00","7,323.17","7,095.65","7,136.21","7,701.69","7,517.10","7,606.01","7,794.55","7,802.38","8,167.02","8,005.67","8,102.32","7,975.17","8,016.16","7,866.08","8,063.45","8,241.88","8,318.74","8,671.62","9,114.71","9,497.59","9,650.36","10,085.23","10,383.23","10,604.76","10,862.65","11,148.42","11,441.71","11,742.71","12,051.64",2017
FIN,Finland,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","25,366.16","23,750.63","22,821.82","22,537.77","23,319.82","24,201.80","24,998.51","26,481.40","27,837.24","29,005.09","30,570.44","31,300.21","31,741.70","32,303.78","33,485.63","34,305.78","35,567.91","37,260.69","37,362.63","34,106.89","34,962.64","35,702.35","35,023.82","34,595.41","34,221.75","34,264.34","35,114.30","36,077.83","36,610.42","37,033.56","37,503.60","37,986.33","38,449.51","38,906.66","39,379.62",2018
FIN,Finland,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","28,687.97","26,860.88","25,810.44","25,489.18","26,373.65","27,371.13","28,272.17","29,949.25","31,482.65","32,803.43","34,573.78","35,399.11","35,898.42","36,534.10","37,870.72","38,798.27","40,225.68","42,140.14","42,255.42","38,573.33","39,541.15","40,377.73","39,610.34","39,125.83","38,703.24","38,751.40","39,712.67","40,802.38","41,404.71","41,883.26","42,414.86","42,960.80","43,484.64","44,001.65","44,536.55",2018
FRA,France,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","26,164.10","26,315.70","26,610.24","26,323.74","26,852.88","27,329.55","27,627.97","28,185.84","29,105.72","29,999.82","30,985.39","31,382.31","31,515.69","31,555.21","32,231.71","32,521.70","33,081.41","33,666.69","33,568.03","32,430.83","32,905.27","33,464.11","33,407.02","33,429.76","33,575.41","33,805.01","34,086.29","34,776.00","35,317.56","35,704.31","36,060.25","36,443.13","36,848.09","37,255.85","37,683.70",2018
FRA,France,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","30,210.93","30,385.98","30,726.08","30,395.27","31,006.24","31,556.65","31,901.22","32,545.38","33,607.53","34,639.93","35,777.93","36,236.25","36,390.25","36,435.89","37,217.02","37,551.87","38,198.16","38,873.95","38,760.04","37,446.95","37,994.77","38,640.04","38,574.12","38,600.37","38,768.56","39,033.67","39,358.46","40,154.84","40,780.17","41,226.74","41,637.73","42,079.83","42,547.42","43,018.26","43,512.28",2018
GAB,Gabon,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","3,284,690.67","3,376,897.90","3,173,489.10","3,220,656.08","3,258,762.10","3,337,412.65","3,374,044.38","3,480,643.36","3,513,848.14","3,121,559.56","2,988,073.00","2,977,859.58","2,910,653.15","2,887,961.75","2,849,073.91","2,757,724.87","2,639,126.58","2,724,521.40","2,670,254.35","2,513,868.39","2,573,697.75","2,655,316.03","2,692,436.15","2,734,071.18","2,755,316.96","2,770,479.68","2,757,552.40","2,709,270.68","2,695,106.22","2,737,492.51","2,794,380.09","2,861,846.18","2,953,213.45","3,050,099.41","3,151,531.28",2004
GAB,Gabon,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","19,963.24","20,523.65","19,287.40","19,574.06","19,805.66","20,283.67","20,506.30","21,154.18","21,355.98","18,971.79","18,160.50","18,098.43","17,689.97","17,552.06","17,315.71","16,760.52","16,039.72","16,558.72","16,228.91","15,278.44","15,642.07","16,138.12","16,363.72","16,616.76","16,745.89","16,838.04","16,759.47","16,466.03","16,379.95","16,637.56","16,983.30","17,393.34","17,948.64","18,537.48","19,153.94",2004
GMB,The Gambia,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","28,869.88","28,335.47","27,702.11","27,173.02","25,370.64","25,420.48","25,397.25","24,639.94","25,444.73","26,245.99","26,843.34","27,503.27","25,772.93","26,677.15","27,667.45","26,190.50","25,264.29","25,264.73","26,059.64","26,982.20","27,733.11","24,720.74","25,239.91","25,188.84","24,094.09","24,328.80","24,071.34","24,494.18","25,340.01","26,204.88","27,069.64","27,752.20","28,396.96","28,981.12","29,486.18",2017
GMB,The Gambia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,640.55","2,591.67","2,533.74","2,485.34","2,320.49","2,325.05","2,322.93","2,253.66","2,327.27","2,400.55","2,455.19","2,515.55","2,357.29","2,439.99","2,530.57","2,395.48","2,310.76","2,310.80","2,383.51","2,467.89","2,536.57","2,261.05","2,308.53","2,303.86","2,203.73","2,225.20","2,201.65","2,240.33","2,317.69","2,396.79","2,475.89","2,538.32","2,597.29","2,650.72","2,696.91",2017
GEO,Georgia,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,"1,691.21","1,803.82","2,066.93","2,368.78","2,510.99","2,639.65","2,740.94","2,929.07","3,125.17","3,493.07","3,721.84","4,100.31","4,520.01","5,108.68","5,266.37","5,098.77","5,459.05","5,893.92","6,325.73","6,576.73","6,883.59","7,072.36","7,260.61","7,615.98","7,968.42","8,375.97","8,865.96","9,232.43","9,632.99","10,051.61","10,487.80",2015
GEO,Georgia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,"5,582.48","3,068.01","2,218.43","2,155.40","2,298.92","2,634.24","3,018.94","3,200.18","3,364.16","3,493.24","3,733.02","3,982.93","4,451.81","4,743.38","5,225.72","5,760.62","6,510.87","6,711.84","6,498.23","6,957.40","7,511.63","8,061.95","8,381.84","8,772.93","9,013.51","9,253.43","9,706.35","10,155.51","10,674.92","11,299.40","11,766.45","12,276.96","12,810.47","13,366.38",2015
DEU,Germany,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","26,728.08","27,707.89","28,056.40","27,629.36","28,220.96","28,599.31","28,776.12","29,275.55","29,890.02","30,462.46","31,333.98","31,839.54","31,751.75","31,538.46","31,948.73","32,228.75","33,525.49","34,600.13","35,032.94","33,153.23","34,625.90","35,985.08","36,071.07","36,127.67","36,775.38","37,093.55","37,615.89","38,399.54","38,868.79","39,049.12","39,532.36","40,126.03","40,692.22","41,230.69","41,754.12",2018
DEU,Germany,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","32,009.72","33,183.15","33,600.53","33,089.10","33,797.60","34,250.73","34,462.48","35,060.59","35,796.49","36,482.05","37,525.78","38,131.25","38,026.10","37,770.67","38,262.01","38,597.37","40,150.35","41,437.35","41,955.68","39,704.53","41,468.20","43,095.97","43,198.95","43,266.73","44,042.44","44,423.48","45,049.03","45,987.54","46,549.52","46,765.48","47,344.21","48,055.19","48,733.27","49,378.14","50,005.01",2018
GHA,Ghana,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,327.86","2,380.85","2,420.47","2,471.39","2,495.56","2,536.70","2,593.42","2,677.93","2,741.65","2,797.87","2,693.15","2,732.51","2,789.20","2,861.69","2,947.48","3,056.14","3,162.93","3,214.50","3,433.28","3,542.23","3,630.94","4,161.41","4,428.79","4,669.74","4,696.30","4,692.04","4,748.21","5,025.57","5,229.24","5,504.85","5,698.22","5,843.16","5,960.51","6,100.19","6,251.86",0
GHA,Ghana,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,567.95","2,626.40","2,670.11","2,726.28","2,752.94","2,798.33","2,860.90","2,954.12","3,024.41","3,086.43","2,970.91","3,014.34","3,076.87","3,156.83","3,251.48","3,371.34","3,489.15","3,546.03","3,787.38","3,907.57","4,005.43","4,590.61","4,885.56","5,151.36","5,180.67","5,175.97","5,237.93","5,543.89","5,768.57","6,072.61","6,285.92","6,445.81","6,575.27","6,729.34","6,896.66",0
GRC,Greece,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","14,745.48","14,978.19","14,945.17","14,616.23","14,824.81","15,069.87","15,424.72","16,054.27","16,579.78","17,002.41","17,623.16","18,249.08","18,873.85","19,917.23","20,878.15","20,946.61","22,060.61","22,718.19","22,591.01","21,553.58","20,327.83","18,464.60","17,173.71","16,742.04","16,984.50","17,017.29","17,101.82","17,384.26","17,765.12","18,162.38","18,612.10","18,977.34","19,280.83","19,512.29","19,753.39",2018
GRC,Greece,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","21,442.10","21,780.49","21,732.48","21,254.16","21,557.45","21,913.81","22,429.81","23,345.27","24,109.44","24,724.01","25,626.67","26,536.85","27,445.37","28,962.59","30,359.91","30,459.46","32,079.38","33,035.60","32,850.66","31,342.09","29,559.66","26,850.25","24,973.11","24,345.39","24,697.97","24,745.65","24,868.57","25,279.28","25,833.11","26,410.77","27,064.73","27,595.84","28,037.17","28,373.74","28,724.34",2018
GRD,Grenada,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","11,570.67","11,714.52","11,530.38","11,177.54","11,256.99","11,406.65","11,843.03","12,385.15","13,822.05","14,767.61","15,488.25","15,140.45","15,622.43","17,054.95","16,898.18","19,086.64","18,269.50","19,327.03","19,445.59","18,095.90","17,937.85","18,006.57","17,730.11","18,073.63","19,318.35","20,474.34","21,142.22","21,976.63","22,809.66","23,420.49","23,948.95","24,470.43","25,127.37","25,803.82","26,443.36",2016
GRD,Grenada,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,210.35","7,299.99","7,185.24","6,965.37","7,014.88","7,108.14","7,380.08","7,717.90","8,613.32","9,202.55","9,651.62","9,434.89","9,735.23","10,627.92","10,530.23","11,893.98","11,384.78","12,043.79","12,117.67","11,276.60","11,178.10","11,220.93","11,048.65","11,262.72","12,038.38","12,758.74","13,174.94","13,694.90","14,214.01","14,594.66","14,923.97","15,248.93","15,658.31","16,079.84","16,478.38",2016
GTM,Guatemala,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,818.16","10,884.85","11,121.37","11,233.20","11,359.37","11,590.07","11,648.04","11,857.25","12,128.79","12,297.33","12,319.64","12,325.25","12,504.13","12,521.47","12,616.95","12,730.72","13,114.21","13,632.34","13,771.94","13,544.76","13,634.18","13,899.06","14,009.94","14,225.09","14,514.23","14,809.27","14,963.38","15,070.38","15,234.97","15,432.50","15,660.87","15,920.23","16,164.45","16,399.43","16,630.32",2018
GTM,Guatemala,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","5,327.32","5,360.16","5,476.63","5,531.70","5,593.83","5,707.44","5,735.99","5,839.01","5,972.73","6,055.73","6,066.71","6,069.47","6,157.56","6,166.10","6,213.12","6,269.15","6,457.99","6,713.14","6,781.89","6,670.01","6,714.05","6,844.49","6,899.09","7,005.04","7,147.42","7,292.71","7,368.60","7,421.30","7,502.35","7,599.62","7,712.08","7,839.80","7,960.06","8,075.77","8,189.47",2018
GIN,Guinea,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","3,273,942.55","3,180,466.55","3,097,996.29","3,071,127.98","3,033,341.49","3,044,388.24","3,079,020.25","3,159,817.94","3,212,719.58","3,279,469.69","3,305,742.94","3,369,193.83","3,484,290.15","3,466,919.89","3,481,837.11","3,512,532.22","3,518,433.53","3,655,033.41","3,707,629.07","3,554,622.72","3,608,254.96","3,713,343.96","3,833,486.46","3,884,577.76","3,928,678.18","3,978,987.62","4,302,289.58","4,619,112.57","4,766,376.13","4,924,097.97","5,090,464.45","5,263,772.97","5,406,592.36","5,537,967.29","5,670,584.20",2014
GIN,Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","1,416.99","1,376.54","1,340.84","1,329.21","1,312.86","1,317.64","1,332.63","1,367.60","1,390.50","1,419.39","1,430.76","1,458.22","1,508.03","1,500.52","1,506.97","1,520.26","1,522.81","1,581.93","1,604.70","1,538.47","1,561.69","1,607.17","1,659.17","1,681.28","1,700.37","1,722.14","1,862.07","1,999.20","2,062.93","2,131.20","2,203.20","2,278.21","2,340.02","2,396.88","2,454.28",2014
GNB,Guinea-Bissau,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","238,184.20","249,908.90","251,926.49","251,958.89","253,718.18","258,148.52","262,022.62","271,758.09","220,985.73","244,913.03","239,296.69","239,000.21","231,004.53","227,076.32","228,440.72","233,144.47","233,450.41","235,900.37","238,163.90","240,708.27","249,912.37","264,303.18","254,183.93","256,810.52","253,705.98","263,471.97","273,946.45","283,937.00","288,382.20","295,154.39","302,952.01","311,252.06","320,011.19","329,635.02","339,867.89",2017
GNB,Guinea-Bissau,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","1,422.08","1,492.08","1,504.13","1,504.32","1,514.83","1,541.28","1,564.41","1,622.53","1,319.40","1,462.26","1,428.72","1,426.95","1,379.21","1,355.76","1,363.91","1,391.99","1,393.82","1,408.45","1,421.96","1,437.15","1,492.10","1,578.02","1,517.61","1,533.29","1,514.75","1,573.06","1,635.60","1,695.25","1,721.79","1,762.22","1,808.78","1,858.33","1,910.63","1,968.09","2,029.18",2017
GUY,Guyana,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","210,406.47","223,706.78","240,994.57","260,107.79","280,998.26","293,578.62","315,631.85","333,326.06","326,302.43","334,682.04","329,289.34","336,205.68","340,095.95","338,137.76","343,607.54","336,782.94","353,333.33","377,124.67","383,550.80","394,696.41","410,853.92","431,473.55","452,018.46","472,828.11","489,331.06","502,307.13","514,933.22","522,842.19","541,439.60","563,758.88","1,043,310.31","1,089,775.25","1,310,668.83","1,648,985.84","1,697,278.30",2017
GUY,Guyana,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,963.05","3,150.35","3,393.80","3,662.97","3,957.16","4,134.32","4,444.88","4,694.06","4,595.15","4,713.16","4,637.21","4,734.61","4,789.40","4,761.82","4,838.85","4,742.74","4,975.81","5,310.86","5,401.35","5,558.31","5,785.85","6,076.22","6,365.55","6,658.60","6,891.00","7,073.74","7,251.54","7,362.92","7,624.82","7,939.13","14,692.41","15,346.75","18,457.48","23,221.83","23,901.91",2017
HTI,Haiti,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","1,791.02","1,780.61","1,707.11","1,590.32","1,376.02","1,483.73","1,516.88","1,529.87","1,535.61","1,549.83","1,536.80","1,495.55","1,467.82","1,449.85","1,377.00","1,380.06","1,389.20","1,413.41","1,403.61","1,425.15","1,327.00","1,380.29","1,400.23","1,439.75","1,460.37","1,458.87","1,461.38","1,460.35","1,464.15","1,448.55","1,449.17","1,454.35","1,459.98","1,465.93","1,472.59",0
HTI,Haiti,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,027.18","2,015.40","1,932.21","1,800.02","1,557.46","1,679.37","1,716.89","1,731.59","1,738.09","1,754.18","1,739.43","1,692.75","1,661.36","1,641.03","1,558.56","1,562.03","1,572.38","1,599.78","1,588.68","1,613.07","1,501.98","1,562.29","1,584.87","1,629.59","1,652.93","1,651.24","1,654.07","1,652.91","1,657.21","1,639.55","1,640.26","1,646.12","1,652.49","1,659.23","1,666.77",0
HND,Honduras,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","15,174.48","15,223.65","15,626.74","16,136.09","15,484.61","15,674.79","15,796.32","16,142.15","16,172.88","15,636.74","16,347.25","16,369.00","16,562.60","16,895.60","17,524.20","18,157.91","18,919.34","19,655.96","20,059.22","19,175.91","19,503.64","19,871.44","20,317.13","20,517.29","20,781.26","21,214.15","21,637.75","22,320.41","22,764.62","23,131.40","23,542.30","23,984.99","24,461.71","24,974.91","25,519.70",2017
HND,Honduras,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","3,089.72","3,099.73","3,181.80","3,285.51","3,152.86","3,191.59","3,216.33","3,286.75","3,293.00","3,183.84","3,328.51","3,332.94","3,372.35","3,440.16","3,568.15","3,697.18","3,852.22","4,002.20","4,084.31","3,904.46","3,971.19","4,046.08","4,136.82","4,177.58","4,231.33","4,319.47","4,405.72","4,544.72","4,635.17","4,709.85","4,793.51","4,883.65","4,980.71","5,085.21","5,196.14",2017
